name,rating,price,page_num
"Apple iPhone X (Silver, 256 GB)",4.6 ★,"₹106,990",1
"Apple iPhone X (Space Gray, 256 GB)",4.6 ★,"₹104,900",1
"Apple iPhone X (Silver, 64 GB)",4.6 ★,"₹91,990",1
"Apple iPhone X (Space Gray, 64 GB)",4.6 ★,"₹88,999",1
"Apple iPhone 8 Plus (PRODUCT)RED (Red, 256 GB)",4.6 ★,"₹86,999",1
"Apple iPhone 8 Plus (Gold, 256 GB)",4.6 ★,"₹84,999",1
"Apple iPhone 8 Plus (Space Grey, 256 GB)",4.6 ★,"₹84,999",1
"Apple iPhone 8 Plus (Silver, 256 GB)",4.6 ★,"₹83,999",1
"Apple iPhone 8 Plus (PRODUCT)RED (Red, 64 GB)",4.6 ★,"₹77,560",1
"Apple iPhone 8 (PRODUCT)RED (Red, 256 GB)",4.9 ★,"₹77,499",1
"Apple iPhone 8 Plus (Silver, 64 GB)",4.6 ★,"₹73,999",1
"Apple iPhone 8 Plus (Space Grey, 64 GB)",4.6 ★,"₹73,999",1
"Apple iPhone 8 Plus (Gold, 64 GB)",4.6 ★,"₹73,999",1
"Apple iPhone 7 Plus (Black, 256 GB)",4.7 ★,"₹73,990",1
"Apple iPhone 8 (Space Grey, 256 GB)",4.5 ★,"₹71,999",1
"Apple iPhone 8 (Silver, 256 GB)",4.5 ★,"₹70,999",1
"Apple iPhone 8 (Gold, 256 GB)",4.5 ★,"₹70,499",1
"Apple iPhone 6s Plus (Rose Gold, 128 GB)",3.7 ★,"₹70,000",1
"Apple iPhone 6s Plus (Silver, 128 GB)",3.3 ★,"₹70,000",1
"Apple iPhone 7 Plus (Jet Black, 128 GB)",4.6 ★,"₹68,490",1
"Apple iPhone 7 Plus (Black, 128 GB)",4.6 ★,"₹66,899",1
"Apple iPhone 7 Plus (Silver, 128 GB)",4.5 ★,"₹66,799",1
"Apple iPhone 7 Plus (Gold, 128 GB)",4.5 ★,"₹66,799",1
"Apple iPhone 7 Plus (Rose Gold, 128 GB)",4.6 ★,"₹66,699",1
"Apple iPhone 7 (Rose Gold, 256 GB)",4.5 ★,"₹57,869",2
"Apple iPhone 7 (Gold, 256 GB)",4.7 ★,"₹57,789",2
"Apple iPhone 7 (Gold, 128 GB)",4.5 ★,"₹55,999",2
"Apple iPhone 6s (Silver, 128 GB)",4 ★,"₹55,000",2
"Apple iPhone 6s (Space Grey, 128 GB)",3.9 ★,"₹55,000",2
"Apple iPhone 7 (Silver, 128 GB)",4.6 ★,"₹54,999",2
"Apple iPhone 7 (Black, 128 GB)",4.6 ★,"₹54,999",2
"Apple iPhone 6s (Rose Gold, 128 GB)",4.2 ★,"₹54,099",2
"Apple iPhone 6 (Gold, 64 GB)",4.6 ★,"₹53,074",2
"Apple iPhone 6s Plus (Space Grey, 16 GB)",4.4 ★,"₹49,999",2
"Apple iPhone 6s (Rose Gold, 64 GB)",4.6 ★,"₹49,999",2
"Apple iPhone 7 (Black, 32 GB)",4.5 ★,"₹48,999",2
"Apple iPhone 7 (Gold, 32 GB)",4.5 ★,"₹48,999",2
"Apple iPhone 7 (Silver, 32 GB)",4.5 ★,"₹48,999",2
"Apple iPhone 7 (Jet Black, 32 GB)",4.5 ★,"₹48,999",2
"Apple iPhone 7 (Rose Gold, 32 GB)",4.5 ★,"₹47,999",2
"Apple iPhone 6 (Silver, 64 GB)",4.6 ★,"₹44,999",2
"Apple iPhone SE (Gold, 64 GB)",4 ★,"₹41,500",2
"Apple iPhone 6s Plus (Space Grey, 32 GB)",4.4 ★,"₹37,999",2
"Apple iPhone 6s Plus (Rose Gold, 32 GB)",4.4 ★,"₹37,999",2
"Apple iPhone 6s Plus (Silver, 32 GB)",4.5 ★,"₹37,999",2
"Apple iPhone 6s Plus (Gold, 32 GB)",4.4 ★,"₹37,999",2
"Apple iPhone 6s (Rose Gold, 32 GB)",4.4 ★,"₹35,999",2
"Apple iPhone 6s (Silver, 32 GB)",4.4 ★,"₹35,999",2
"Apple iPhone 4s (White, 8 GB)",3.2 ★,"₹9,990",3
"Apple iPhone 4s (White, 8 GB)",4.2 ★,"₹9,775",3
"Apple Iphone 4s (Black, 16 GB)",[],"₹9,699",3
"Apple iPhone 4s (Black, 8 GB)",4.2 ★,"₹8,700",3
"Apple iPhone 7 Plus (PRODUCT) (Red, 256 GB)",5 ★,"₹73,999",3
"Apple iPhone 7 Plus (Rose Gold, 256 GB)",4.5 ★,"₹73,999",3
"Apple iPhone 7 Plus (Jet Black, 256 GB)",4.6 ★,"₹73,999",3
"Apple iPhone 7 Plus (Gold, 256 GB)",4.5 ★,"₹73,999",3
"Apple iPhone 7 Plus (Silver, 256 GB)",4.5 ★,"₹73,999",3
"Apple iPhone 7 Plus (Red, 128 GB)",4.7 ★,"₹66,999",3
"Apple iPhone 7 (PRODUCT) (Red, 256 GB)",4.8 ★,"₹63,999",3
"Apple iPhone 7 (Silver, 256 GB)",4.6 ★,"₹63,999",3
"Apple iPhone 6 (Grey, 128 GB)",3.9 ★,"₹63,499",3
"Apple iPhone 6 (Silver, 128 GB)",4.3 ★,"₹62,999",3
"Apple iPhone 6s Plus (Gold, 64 GB)",4.4 ★,"₹59,999",3
"Apple iPhone 6s Plus (Rose Gold, 64 GB)",4.1 ★,"₹59,999",3
"Apple iPhone 6s Plus (Space Grey, 64 GB)",4.3 ★,"₹59,999",3
"Apple iPhone 6 Plus (Gold, 128 GB)",4.6 ★,"₹59,999",3
"Apple iPhone 7 Plus (Gold, 32 GB)",4.6 ★,"₹58,999",3
"Apple iPhone 6 Plus (Space Grey, 128 GB)",4.7 ★,"₹56,999",3
"Apple iPhone 6s (Gold, 128 GB)",4.1 ★,"₹55,999",3
"Apple iPhone 7 (Red, 128 GB)",4.5 ★,"₹55,999",3
"Apple iPhone 6s Plus (Rose Gold, 16 GB)",4.2 ★,"₹49,999",3
"Apple iPhone 6s (Silver, 64 GB)",4.4 ★,"₹49,999",3
"Apple iPhone 6 Plus (Space Grey, 16 GB)",4.5 ★,"₹39,999",4
"Apple iPhone 6 (Silver, 16 GB)",4.4 ★,"₹36,990",4
"Apple iPhone 5C (Yellow, 16 GB)",[],"₹29,990",4
"Apple iPhone SE (Rose Gold, 64 GB)",4.1 ★,"₹28,999",4
"Apple iPhone SE (Space Grey, 64 GB)",4.2 ★,"₹28,990",4
"Apple iPhone SE (Silver, 128 GB)",4.4 ★,"₹28,490",4
"Apple iPhone SE (Gold, 128 GB)",4.5 ★,"₹28,490",4
"Apple iPhone SE (Rose Gold, 128 GB)",4.4 ★,"₹28,000",4
"Apple iPhone SE (Space Grey, 128 GB)",4.4 ★,"₹27,799",4
"Apple iPhone 5C (Yellow, 8 GB)",4 ★,"₹27,106",4
"Apple iPhone 5C (Yellow, 32 GB)",[],"₹25,999",4
"Apple iPhone 5s (Silver, 16 GB)",4.3 ★,"₹25,000",4
"Apple iPhone 5C (Pink, 16 GB)",3.8 ★,"₹24,999",4
"Apple iPhone 6 (Space Grey, 16 GB)",4.4 ★,"₹24,999",4
"Apple iPhone 5C (Pink, 8 GB)",4 ★,"₹22,199",4
"Apple iPhone SE (Rose Gold, 16 GB)",4.3 ★,"₹20,999",4
"Apple iPhone SE (Silver, 16 GB)",4.2 ★,"₹20,999",4
"Apple iPhone SE (Gold, 16 GB)",4.1 ★,"₹20,999",4
"Apple IPhone 4 (Black, 8 GB)",4 ★,"₹20,824",4
"Apple iPhone 5C (Blue, 8 GB)",4.3 ★,"₹14,999",4
"Apple iPhone 5C (White, 8 GB)",4.2 ★,"₹14,999",4
